function_time,all_functions_time,writing_operations,program_after_writing,frees,total_program
0.160789,0.670321,12.021137,12.691458,0.123140,12.814598
0.153857,0.616890,12.431918,13.048808,0.121747,13.170555
0.155670,0.616537,12.062346,12.678883,0.124826,12.803709
0.156204,0.603118,11.917154,12.520272,0.121681,12.641953
0.156322,0.603884,12.298985,12.902869,0.122421,13.025290
0.153684,0.601504,11.847693,12.449197,0.154662,12.603859
0.164019,0.634688,12.439222,13.073910,0.124517,13.198427
0.155628,0.603489,12.410135,13.013624,0.131353,13.144977
0.154096,0.613197,12.580426,13.193623,0.130607,13.324230
0.200447,0.661065,12.246630,12.907695,0.124714,13.032409
