function_time,all_functions_time,writing_operations,program_after_writing,frees,total_program
0.172425,0.68479,27.7785,28.4633,0.205102,28.6684
0.173921,0.68522,23.1888,23.874,0.150689,24.0247
0.177106,0.703547,23.6466,24.3501,0.161125,24.5112
0.181083,0.715079,23.7363,24.4514,0.149302,24.6007
0.18257,0.700571,23.8936,24.5942,0.144017,24.7382
0.193899,0.717836,23.6287,24.3465,0.147154,24.4937
0.179877,0.696968,23.4494,24.1463,0.141345,24.2877
0.175232,0.833893,23.7562,24.5901,0.147829,24.7379
0.175675,0.693428,23.5424,24.2358,0.142542,24.3784
0.176003,0.694045,23.3319,24.0259,0.143101,24.169
