function_time,all_functions_time,writing_operations,program_after_writing,frees,total_program
0.182705,0.645239,31.363432,32.008671,0.126215,32.134886
0.151756,0.605418,27.540668,28.146086,0.129761,28.275847
0.156391,0.616962,26.759703,27.376665,0.120402,27.497066
0.162583,0.612823,27.131664,27.744488,0.122561,27.867049
0.156673,0.606768,26.028357,26.635125,0.121621,26.756746
0.155218,0.606703,26.561196,27.167900,0.124324,27.292224
0.155863,0.607694,26.595602,27.203296,0.131409,27.334705
0.155755,0.609930,26.205288,26.815218,0.122470,26.937688
0.154014,0.602459,25.901024,26.503484,0.122761,26.626244
0.155908,0.605728,26.270850,26.876578,0.122519,26.999097
